DaysTakenPerProj_averaged10Days StandardErrorInBin_days Revenue_binned10Days ProjectsInitiated_binned10Days
0 0 0 0
0 0 0 0
0 0 0 0
1 0 803.5 1
0 0 0 0
0.666667 0.272166 2347 3
1.2 0.438178 3838.5 5
1 0.471405 2091.5 3
2.5 0.300463 9052 12
1 0 3722.5 5
1 0 2550.5 3
1.14286 0.241473 5290.5 7
5.41667 0.730851 9374.5 12
10.2727 0.22603 8263.5 11
10.8889 0.366648 7414.5 9
8.2 0.954987 3929.5 5
8.25 0.414578 3075 4
1.4 0.45607 3914 5
1.66667 0.544331 2287.5 3
0 0 733 1
1 0 867.5 1
0 0 1284.5 2
0 0 0 0
0 0 0 0
0 0 0 0
Revenue_Total_dollars: 70839.5
