DaysTakenPerProj_averaged10Days StandardErrorInBin_days Revenue_binned10Days ProjectsInitiated_binned10Days
0 0 0 0
0 0 0 0
0.666667 0.272166 2380.5 3
0 0 730.5 1
0 0 0 0
1 0 1616 2
0.8 0.334664 3773.5 5
1.8 0.521536 4059.5 5
1 0.222222 6791 9
1.6 0.289828 7093 10
5.7 0.67897 8046.5 10
3.28571 0.5235 5137 7
2.66667 0.496904 7375 9
1.125 0.448522 5698.5 8
1.88889 0.29163 6853.5 9
1 0.282843 3834 5
1.33333 0.272166 2617.5 3
1 0 1683.5 2
0.75 0.414578 2885 4
1 0 826.5 1
0 0 717.5 1
1 0 903 1
0 0 0 0
0 0 0 0
0 0 706 1
Revenue_Total_dollars: 73727.5
